,movie_name,year,genre,Poster_url,director,cast,overview
986,Julie 2,2017,"Drama, Romance, Thriller",,Deepak S. Shivdasani,"Nishikant Kamat, Raai Laxmi, Rati Agnihotri, Ravi Kishan","A simple girl rises to be a big star, but the story of her success is not without its dark side."
987,Khuda Gawah,1992,"Action, Adventure, Drama",,Mukul Anand,"Amitabh Bachchan, Sridevi, Nagarjuna Akkineni, Shilpa Shirodkar","Baadshah Khan falls in love with Benazir, a member of a rival clan who has defeated him in a game of buzkashi."
988,Laaga Chunari Mein Daag: Journey of a Woman,2007,"Drama, Family, Romance",,Pradeep Sarkar,"Rani Mukerji, Jaya Bachchan, Konkona Sen Sharma, Kunal Kapoor",A small town girl lands in big bad Mumbai to earn an honest living but faces a confrontation she would've never dreamt of in her wildest dreams.
989,Helicopter Eela,2018,Drama,,Pradeep Sarkar,"Kajol, Riddhi Sen, Tota Roy Chowdhury, Neha Dhupia","Eela Raiturkar, an aspiring singer, gives up on her career after her husband abandons her and their son, Vivaan. However, years later, he encourages his mother to pursue her dream."
990,Jagir,1984,"Action, Adventure, Drama",,Pramod Chakravorty,"Dharmendra, Zeenat Aman, Mithun Chakraborty, Shoma Anand",Three men attempt to seek vengeance against their oppressors.
991,Humko Deewana Kar Gaye,2006,"Drama, Romance",,Raj Kanwar,"Akshay Kumar, Katrina Kaif, Bipasha Basu, Bhagyashree Patwardhan","Aditya an engineer, travels to Canada for training. There he meets Jia a beautiful woman from an influential family. Fate keeps pushing the pair together, and even though both are already betrothed to others, Adi and Jia fall in love."
992,Ek Hasina Thi,2004,"Crime, Drama, Mystery",,Sriram Raghavan,"Saif Ali Khan, Urmila Matondkar, Seema Biswas, Aditya Srivastav","A woman falls for a charming and mysterious businessman. The whirlwind romance turns sour when she is framed for his underworld crimes. Now, finally out of prison she is ready for sweet revenge."
993,Soorma,2018,"Biography, Drama, Sport",,Shaad Ali,"Diljit Dosanjh, Taapsee Pannu, Angad Bedi, Vijay Raaz","Soorma is the story of the triumph of the human spirit, about a player, who made headlines for his miraculous comeback after facing a near death experience through sheer determination, hard work and unrelenting passion for the sport."
994,Nikamma,2022,"Action, Comedy, Drama",,Sabir Khan,"Abhimanyu Dasani, Shilpa Shetty Kundra, Shirley Setia, Samir Soni",A lazy slacker struggles to get along with his diligent sister-in-law - until they must step up and fight together against a common enemy.
995,Do Lafzon Ki Kahani,2016,"Action, Drama, Romance",,Deepak Tijori,"Kajal Aggarwal, Anil George, Randeep Hooda, Snehal Kulshreshtha",Centered on ex-mixed martial arts artist Sooraj (Randeep Hooda) and sculptor artist Jenny (Kajal Aggarwal). Their fate intertwines when their past are revealed in their blooming relationship.
996,Phata Poster Nikhla Hero,2013,"Action, Comedy, Crime",,Rajkumar Santoshi,"Shahid Kapoor, Ileana D'Cruz, Padmini Kolhapure, Mukesh Tiwari",Vishwas Rao is raised by his mother who wants him to become a police officer while he wants to become an actor.
997,Manikarnika: The Queen of Jhansi,2019,"Action, Biography, Drama",,"Radha Krishna Jagarlamudi, Kangana Ranaut","Kangana Ranaut, Danny Denzongpa, Suresh Oberoi, Atul Kulkarni","Story of Rani Lakshmibai, one of the leading figures of the Indian Rebellion of 1857, and her resistance to the British Rule."
998,August 16 1947,2023,"Action, Drama",,N.S. Ponkumar,"Gautham Karthik, Revathy, Pugazh, Madhusudhan Rao",The tale of a remote village where one man battles British forces
999,Nasha,2013,"Drama, Thriller",,Amit Saxena,"Poonam Pandey, Shivam Patil, Vishal Bhonsle, Mohit Chauhan","A teenage boy becomes smitten with his new drama teacher and pursues her, despite the perilous risks of being found out."
1000,Tum Bin 2,2016,"Drama, Romance",,"Md. Shahnause, Anubhav Sinha, Peter Pedrero","Neha Sharma, Aditya Seal, Aashim Gulati, Mouni Roy","After a skiing accident, Taran thinks her fiance is dead and grieves for months. Soon, Shekhar enters her life, helps her rediscover happiness, and falls in love with her."
1001,Suryavanshi,1992,"Action, Fantasy, Horror",,Rakesh Kumar,"Salman Khan, Amrita Singh, Sheeba Agarwal, Saeed Jaffrey",An archaeologist unearths an underground palace at Sangramgarh. The locals are afraid of what will happen if they start digging and would like to leave the past alone. It turns out their fears we confounded.
1002,Zanjeer,2013,"Action, Crime, Drama",,Apoorva Lakhia,"Ram Charan, Priyanka Chopra Jonas, Sanjay Dutt, Prakash Raj",ACP Vijay Khanna is transferred to Mumbai where he will have do deal with the oil mafia led by Rudra Pratap Teja.
1003,Shukranu,2020,Drama,,Bishnu Dev Halder,"Divyendu Sharma, Shweta Basu Prasad, Sheetal Thakur, Aakkash Dabhade","Set in Delhi/UP/Haryana, SHUKRANU is a comic take on the darkest phases of Indian democracy through the encounters of a would-be groom who is forcefully sterilized just days before his much-awaited marriage."
1004,Jigarthanda DoubleX,2023,"Action, Comedy, Drama",,Karthik Subbaraj,"S.J. Suryah, Nimisha Sajayan, Raghava Lawrence",Add a Plot
1005,Tehran,,"Action, Thriller",,Arun Gopalan,"John Abraham, Manushi Chhillar, Hadi Khanjanpour, Madhurima Tuli",Add a Plot
1006,Ramaiya Vastavaiya,2013,"Action, Drama, Romance",,Prabhu Deva,"Shruti Haasan, Girish Taurani, Sonu Sood, Vinod Khanna","Ram falls in love with Sona, who lives on the fields of Punjab. He follows her to her farm, where her elder brother challenges him to produce more seed on their fields. If he wins, he will be allowed to marry her."
1007,Yaadein...,2001,"Musical, Drama, Romance",,Subhash Ghai,"Hrithik Roshan, Jackie Shroff, Kareena Kapoor, Amrish Puri","Raj is against love marriages and when his daughter Isha falls in love with Ronit Malhotra, he opposes their relationship. Will Ronit and Isha sacrifice their love for the sake of their parents or will they manage to convince them?"
1008,Chhota Bheem Kung Fu Dhamaka,2019,"Animation, Action, Adventure",,"Rajiv Chilaka, Binayak Das","Urvi Ashar, Asif Ali Beig, Jigna Bhardwaj, Rupa Bhimani","Chhota Bheem and his friends decide to participate in the annual martial arts competition held at China, where the country's princess gets kidnapped by an evil demon Zuhu."
1009,Maatr,2017,Thriller,,Ashtar Sayed,"Raveena Tandon, Siddharth Bhardwaj, Madhur Mittal, Piyush Kaushik","Vidya, who's left shattered after her daughter Tia's murder, seeks vengeance by fighting the broken justice and criminal system."
1010,Alag: He Is Different.... He Is Alone...,2006,"Action, Drama, Fantasy",,Asshu Trikha,"Akshay Kapoor, Dia Mirza, Yatin Karyekar, Jayant Kripalani",An odd orphan boy is forced to use his secret super powers when his new classmates bully him. A scientist abducts him to use the boy's powers for his own evil gains.
1011,Delhi-6,2009,Drama,,Rakeysh Omprakash Mehra,"Waheeda Rehman, Abhishek Bachchan, Sonam Kapoor, Rishi Kapoor","In the ancient walled city of Delhi, an American-born Indian finds himself on an unexpected inner journey as he learns about himself and his roots."
1012,Vaastav: The Reality,1999,"Action, Crime, Drama",,Mahesh Manjrekar,"Sanjay Dutt, Namrata Shirodkar, Reema Lagoo, Shivaji Satam",Consequences force an innocent man to get involved in crime after making an error.
1013,Ship of Theseus,2012,Drama,,Anand Gandhi,"Aydah El-Kashef, Yogesh Shah, Faraz Khan, Hannan Youssef","The film explores questions of identity, justice, beauty, meaning and death through an experimental photographer, an ailing monk and a young stockbroker."
1014,Golmaal: Fun Unlimited,2006,"Action, Comedy, Drama",,Rohit Shetty,"Ajay Devgn, Arshad Warsi, Sharman Joshi, Tusshar Kapoor",Four runaway crooks take shelter in a bungalow which is owned by a blind couple.
1015,The Hero of Color City,2014,"Animation, Adventure, Family",,Frank Gladstone,"Owen Wilson, Christina Ricci, Rosie Perez, Wayne Brady",A diverse band of crayons strive to protect not only their magical multihued homeland but the imagination of children everywhere from a terrifying monster.
1016,Raja,1995,"Action, Comedy, Drama",,Indra Kumar,"Sanjay Kapoor, Madhuri Dixit, Mukesh Khanna, Dalip Tahil","Raja and Madhu fall in love and decide to get married. However, her brothers are against the alliance and devise a plan to drive the two apart."
1017,Kyon Ki...,2005,"Drama, Romance",,Priyadarshan,"Salman Khan, Kareena Kapoor, Rimi Sen, Jackie Shroff","After learning the sad truth about a patient, a female psychiatrist falls in love with him."
1018,Choked: Paisa Bolta Hai,2020,Drama,,Anurag Kashyap,"Saiyami Kher, Roshan Mathew, Amruta Subhash, Upendra Limaye",A bank employee weighed down by her jobless husband's debts - and her own broken dreams - finds a secret source of seemingly unlimited cash in her home.
1019,Azhar,2016,"Biography, Drama, Sport",,Anthony D'Souza,"Emraan Hashmi, Nargis Fakhri, Prachi Desai, Lara Dutta","Biographical sports drama based on the life of former Indian international cricketer, Mohammad Azharuddin"
1020,Panga,2020,"Drama, Sport",,Ashwiny Iyer Tiwari,"Kangana Ranaut, Jassie Gill, Richa Chadha, Neena Gupta","Panga is inspired by the life of a National-level Kabbadi player from India. It follows her triumphs, struggle, and overcoming of stereotypes. It shows how important family love and support is for success."
1021,Rog,2005,"Mystery, Romance, Thriller",,Himanshu Brahmbhatt,"Irrfan Khan, Ilene Hamann, Himanshu Malik, Suhel Seth",A lonely and insomniac detective falls in love with a dead woman whose murder he is investigating.
1022,Dil Toh Baccha Hai Ji,2011,"Comedy, Drama, Romance",,Madhur Bhandarkar,"Ajay Devgn, Emraan Hashmi, Omi Vaidya, Shazahn Padamsee",Three roommates are in search of true love. They each find a girl with whom they fall head over heels in love with. Now they just have to get the women to reciprocate.
1023,Waqt: The Race Against Time,2005,"Comedy, Drama, Family",,Vipul Amrutlal Shah,"Amitabh Bachchan, Akshay Kumar, Priyanka Chopra Jonas, Shefali Shah","Ishwar Chandra Thakur is living the good life, content with his loving wife Sumitra and son Adiya. There is but one thing which gradually comes to annoy Ishwar: his son's laziness and dependency on his father."
1024,Kasethan Kadavulada,2023,"Comedy, Drama",,R. Kannan,"Shiva, Priya Anand, Yogi Babu, Yogi Devaraj","A young man, his cousin and a friend stealing money from his stingy stepmother."
1025,Jurm,1990,"Action, Crime, Romance",,Mahesh Bhatt,"Vinod Khanna, Meenakshi Sheshadri, Sangeeta Bijlani, Shafi Inamdar","Police Inspector Shekhar Varma lives in Khar, Bombay, along with his wife, Meena, and a school-going daughter. His office is notified that Editor Ritesh Nandy has received death threats as ...                See full summary »"
1026,Kachchi Kali,1987,Drama,,K.R. Rangan,"Sonika Gill, Kapil Karzan, Ajinkya Deo, Abhilasha",Sonika Gill plays an innocent virgin girl (Kachchi Kali as the title indicates) who is tricked by her lover (Ajinkya Deo) who is a blue film maker and sold off in to prostitution. Her ...                See full summary »
1027,Who Am I,2023,Drama,,Shireesh Khemariya,"Gaurav Kamble, Rishika Chandani, Mayank Jadhav, Subeer Kasali","Based on the critically acclaimed novel KO aham By AshokJamnani, The story is set in a small town based on the banks of the river Narmada. Bhavitavya, a philosophy student who is currently ...                See full summary »"
1028,Kachche Dhaage,1999,"Action, Drama, Thriller",,Milan Luthria,"Ajay Devgn, Saif Ali Khan, Manisha Koirala, Namrata Shirodkar",Two stepbrothers who loathe each other have to work together to avoid being framed for terrorist activities.
1029,Pitaah,2002,"Action, Drama",,Mahesh Manjrekar,"Sanjay Dutt, Nandita Das, Sachin Khedekar, Tanvi Hegde",Thakur Avadh Narayan Singh rules Shekhapur village.Due to his fear villagers don't dare to go against him for his wrong doings.His son Bhola and Bacchu are also to follow his part who spend...                See full summary »
1030,Guest iin London,2017,Comedy,,Ashwani Dhir,"Kartik Aaryan, Kriti Kharbanda, Paresh Rawal, Tanvi Azmi","A young couple in London struggle to live with their estranged aunt and uncle, who overstay their welcome."
1031,Policegiri,2013,"Action, Comedy, Crime",,K.S. Ravikumar,"Sanjay Dutt, Prachi Desai, Prakash Raj, Om Puri",DCP Rudra faces a bunch of challenges after he locks horns with a notorious criminal Nagori Subramanium.
1032,Shaakuntalam,2023,"Drama, Fantasy, Romance",,Gunasekhar,"Samantha Ruth Prabhu, Dev Mohan, Mohan Babu, Aditi Balan","The love story of King Dushyantha and Shakuntala, daughter of sage Vishwamitra and nymph Menaka. Due to a sage's curse, Dushyant forgets all about Shakuntala, until destiny brings them together again."
1033,Hasee Toh Phasee,2014,"Comedy, Romance",,Vinil Mathew,"Sidharth Malhotra, Parineeti Chopra, Adah Sharma, Manoj Joshi","Nikhil is re-introduced to Meeta nearly ten years after their first meeting. Now, as Nikhil has one week to prove himself worth enough to marry Meeta's sister Karishma, the old acquaintances become quite close to each other."
1034,Tiger Nageswara Rao,2023,"Action, Biography, Crime",,Vamsee,"Anupam Kher, John Abraham, Karthi, Ravi Teja","A legendary real-life robber of Stuartpuram, Andhra Pradesh called Tiger Nageswara Rao in the 1970s, who was noted for his ingenious ways of evading the police and prison."
1035,Baar Baar Dekho,2016,"Action, Comedy, Drama",,Nitya Mehra,"Sidharth Malhotra, Katrina Kaif, Sayani Gupta, Kirti Adarkar",The highs and lows of a romantic relationship are examined through flashbacks and flash-forwards.
1036,Baaghi 4,,"Action, Drama, Thriller",,"Jahid D'cruz, Ahmed Khan","Tiger Shroff, Jimmy Shergill, Sunny Hinduja, Jisshu Sengupta",Fourth installment of Baaghi film series.
1037,Hotel,1981,"Horror, Mystery",,"Shyam Ramsay, Tulsi Ramsay","Navin Nischol, Rakesh Roshan, Bindiya Goswami, Neelam Mehra","Suraj is separated from his love Seema and wants to build a hotel at the location where he met her, he tells his secretary Lalwani to check out the location. Lalwani finds the scenic ...                See full summary »"
1038,Doodhwali,2007,Drama,,Suresh Jain,"Tanveer, Kanchan, Abu Khan, Shiri Khan",Add a Plot
1039,Loha,1987,"Action, Drama, Thriller",,Raj N. Sippy,"Dharmendra, Shatrughan Sinha, Karan Kapoor, Jugal Hansraj","Honest and diligent Police Inspector Amar lives a middle-classed lifestyle in Bombay. In his attempt to arrest bandit Sher Singh, he and Inspector Dayal are attacked, Amar survives, but ...                See full summary »"
1040,Socha Na Tha,2005,"Comedy, Drama, Romance",,Imtiaz Ali,"Abhay Deol, Ayesha Takia, Ayesha Jhulka, Apoorva Jha","A boy is forced meet a girl for an arranged marriage but even though he refuses the match, they secretly become friends. As things get complicated and both get engaged to different people they realize they've fallen in love with each other."
1041,Naseeb,1998,"Comedy, Drama, Romance",,Kirti Kumar,"Govinda, Mamta Kulkarni, Saeed Jaffrey, Ajit Vachani","Poor Krishna Prasad and Pooja are in love and would like to marry each other. But Pooja's dad, Din Dayal, wants her to marry a wealthier man, and rejects Krishna. Krishna agrees to acquire ...                See full summary »"
