,movie_name,year,genre,Poster_url,director,cast,overview
1753,99 Songs,2019,"Musical, Romance",,Vishwesh Krishnamoorthy,"Ehan Bhat, Edilsy Vargas, Tenzing Dalha, Lisa Ray","Challenged to compose 100 songs before he can marry the girl he loves, a tortured but passionate singer-songwriter embarks on a poignant musical journey."
1754,A Sublime Love Story: Barsaat,2005,"Drama, Romance",,Suneel Darshan,"Bobby Deol, Priyanka Chopra Jonas, Bipasha Basu, Mahesh Thakur","Arav is an ambitious young Indian whose dream is to design cars. He travels to the United States seeking greener pastures, where he meets the beautiful Anna. Anna instantly goes head over ...                See full summary »"
1755,72 Hours: Martyr Who Never Died,2019,"Action, Biography, Drama",,Avinash Dhyani,"Avinash Dhyani, Prashil Rawat, Mukesh Tiwari, Yeshi Dema","The story is based on the life of Rifleman Jaswant Singh Rawat. 55 years ago during 1962 Indo-China war , when the destiny of war was pre decided, there stood a brave soldier from 4th ...                See full summary »"
1756,Diya Aur Toofan,1995,"Action, Drama, Thriller",,K. Bapaiah,"Mithun Chakraborty, Madhoo, Maya Alagh, Vijay Arora",Dr. Vijay performs a ground breaking surgical operation when he transplants the brain of a slain police officer on the brain-dead body of his to-be bride in order to avenge the death of the police officer.
1757,Silsila Sidnaaz Ka,2021,Romance,,K. Bapaiah,"Mithun Chakraborty, Madhoo, Maya Alagh, Vijay Arora","Will have unseen footage from the Bigg Boss house that will be all about friendship, love and romance. It will narrate the good and bad times of Shehnaz and Sidharth as a couple."
1758,Sheela Meri Jaan,1990,Thriller,,K. Bapaiah,"Mithun Chakraborty, Madhoo, Maya Alagh, Vijay Arora",Add a Plot
1759,Issaq,2013,"Drama, Romance",,Manish Tiwary,"Prateik Patil Babbar, Amyra Dastur, Ravi Kishan, Prashant Narayanan","A contemporary adaptation of Romeo and Juliet set in the backdrop of Varanasi in the UP heartland, complete with naxalism, sand mining mafia and of course the timeless love story."
1760,8 x 10 Tasveer,2009,"Action, Crime, Drama",,Nagesh Kukunoor,"Akshay Kumar, Ayesha Takia, Jaaved Jaaferi, Girish Karnad",A forest ranger with the ability to visit the past by looking at photographs attempts to solve the mystery behind his father's sudden death.
1761,Andhera,1975,"Crime, Drama, Thriller",,"Shyam Ramsay, Tulsi Ramsay","Sameer Khan, Vani Ganpati, Imtiaz Khan, Dulari",Deepak drives a car and tries to chase Asha seeing his driving her brother Ranjeet offers him to work with him as a driver.Asha and Deepak fall in love Ranjeet and his partners tell him to ...                See full summary »
1762,Style,2001,"Comedy, Musical, Mystery",,N. Chandra,"Sharman Joshi, Sahil Khan, Riya Sen, Shilpi Sharma","In an attempt to woo the rich women, two prankster-loving men becomes prime suspects of a murder of a woman."
1763,Jawani Ki Kahani,1986,Drama,,K.R. Rangan,"Abhilasha, Vijay Arora, Ramesh Deo, Seema Deo",Add a Plot
1764,Monster,XXX,Thriller,,Keshhav Panneriy,"Amarjeet Singh, Hannah Panneriy",Add a Plot
1765,The Warrior,2001,"Adventure, Drama",,Asif Kapadia,"Irrfan Khan, Puru Chibber, Aino Annuddin, Manoj Mishra","In feudal India, a warrior (Khan) who renounces his role as the longitme enforcer to a local lord becomes the prey in a murderous hunt through the Himalayan mountains."
1766,Naqaab,2007,"Crime, Drama, Romance",,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Bobby Deol, Akshaye Khanna, Urvashi Sharma, Vikas Kalantri","Sophia is engaged to millionaire Karan, who is completely in love with her. She, however, finds true love in Vicky and gets into a relationship that causes problems between her and Karan."
1767,Sarkar 3,2017,"Action, Crime, Drama",,Ram Gopal Varma,"Amitabh Bachchan, Yami Gautam, Manoj Bajpayee, Abhishek Bachchan","The third film in Ram Gopal Varma's Sarkar trilogy, which chronicles the exploits of a powerful political figure."
1768,Mere Yaar Ki Shaadi Hai,2002,"Comedy, Drama, Romance",,Sanjay Gadhvi,"Uday Chopra, Jimmy Shergill, Bipasha Basu, Tanaaz Currim Irani",Sanjay wakes up to the truth that he loves his best friend Sanjana reluctantly but surely and sets off on a noble mission - to break her wedding.
1769,Pyaar Hai Toh Hai,2023, ,,"Pradeep R.K. Chaudhary, Pradeep R.K. Chaudhary","Karan Hariharan, Paanie Kashyap, Rohit Choudhury, Shiv Prateek",Add a Plot
1770,Nawabzaade,2018,"Comedy, Romance",,Jayesh Pradhan,"Dharmesh Yelande, Punit Pathak, Raghav Juyal, Isha Rikhi","Three best friends fall in love with a simple, stay-at-home girl from their neighbourhood. As they all go out of their way to win her love, they are pitted against each other in their efforts."
1771,Lipstick Under My Burkha,2016,"Comedy, Drama",,Alankrita Shrivastava,"Aahana Kumra, Ratna Pathak Shah, Konkona Sen Sharma, Plabita Borthakur","In order to be independent and break free from the conservative society, four women sets on a journey to discover freedom and happiness."
1772,Ghanchakkar,2013,"Comedy, Crime, Thriller",,Raj Kumar Gupta,"Emraan Hashmi, Vidya Balan, Namit Das, Rajesh Sharma",A safe cracker claims he has lost his memory when two criminals come calling for their cut of the bank heist loot.
1773,Vaada,2005,"Crime, Drama, Mystery",,Satish Kaushik,"Arjun Rampal, Zayed Khan, Ameesha Patel, Alok Nath",A blind husband. An obsessed lover. And the missing body of a murdered wife...?
1774,Khiladi 1080,2025,Action,,Kabir Sadanand,"Rakul Preet Singh, Sonakshi Sinha, Huma Qureshi, Shehnaaz Gill","Four identical brothers Raghupati, Raghav, Raja, and Ram, all embark on an action adventure as they unwittingly get entangled in a dangerous criminal conspiracy that puts their lives and their loved ones at stake.with no regard."
